Hello, World!33333333333333333333333333333333333333333333333333333333333333333
====--PcapFileProcess  fname:/home/avorovich/pcap/rp_tap0.pcap
======================client to broker 
gaps_pos!!!  seq_gap_pos_count:15
frame stats  tcp_pair_key:192.168.110.61:41072-192.168.110.51:1096  frame_count:197  syn_count:0  fin_count:0  rst_count:1  isn:001979239428  "seq_gap_pos_count %":0.0757576  "seq_gap_neg_count %":0
kafka stats  kafka_count:196  kafka_len_tot:000000025080  tcp_payload_len_tot:000000025080  ind_client_id_n:1
kafka client_id list (req only) 
client_id_key:consumer-sub-000-nOkgFv0-7
kafka_non_ack_count:28  pct_non_ack!!!:0.142132
kafka req  list  
kafka_corr_id:21535  ack:1  iframe:3  index_in_frame:1  kafka_len:131
kafka_corr_id:21539  ack:1  iframe:2769  index_in_frame:1  kafka_len:131
kafka_corr_id:21543  ack:1  iframe:4917  index_in_frame:1  kafka_len:131
kafka_corr_id:21547  ack:0  iframe:5127  index_in_frame:1  kafka_len:131
kafka_corr_id:21559  ack:1  iframe:8043  index_in_frame:1  kafka_len:131
kafka_corr_id:21563  ack:1  iframe:8358  index_in_frame:1  kafka_len:131
kafka_corr_id:21571  ack:1  iframe:9059  index_in_frame:1  kafka_len:131
kafka_corr_id:21575  ack:1  iframe:9775  index_in_frame:1  kafka_len:131
kafka_corr_id:21579  ack:1  iframe:10229  index_in_frame:1  kafka_len:131
kafka_corr_id:21583  ack:0  iframe:11766  index_in_frame:1  kafka_len:131
kafka_corr_id:21587  ack:1  iframe:12702  index_in_frame:1  kafka_len:131
kafka_corr_id:21591  ack:1  iframe:14454  index_in_frame:1  kafka_len:131
kafka_corr_id:21595  ack:0  iframe:15950  index_in_frame:1  kafka_len:131
kafka_corr_id:21598  ack:1  iframe:16942  index_in_frame:1  kafka_len:71
kafka_corr_id:21599  ack:1  iframe:17150  index_in_frame:1  kafka_len:71
kafka_corr_id:21600  ack:1  iframe:17432  index_in_frame:1  kafka_len:71
kafka_corr_id:21601  ack:1  iframe:18950  index_in_frame:1  kafka_len:71
kafka_corr_id:21604  ack:1  iframe:19367  index_in_frame:1  kafka_len:131
kafka_corr_id:21611  ack:1  iframe:21178  index_in_frame:1  kafka_len:131
kafka_corr_id:21615  ack:0  iframe:21915  index_in_frame:1  kafka_len:131
kafka_corr_id:21619  ack:0  iframe:22089  index_in_frame:1  kafka_len:131
kafka_corr_id:21623  ack:1  iframe:22372  index_in_frame:1  kafka_len:131
